v8-version,6,2,414,50,0
shared-library,"/usr/bin/node",0x00400000,0x01f56000,0
shared-library,"/lib/x86_64-linux-gnu/libc-2.27.so",0x7f0ec21f4000,0x7f0ec23db000,0
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.27.so",0x7f0ec25e5000,0x7f0ec25ff000,0
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f0ec2804000,0x7f0ec281b000,0
shared-library,"/lib/x86_64-linux-gnu/libm-2.27.so",0x7f0ec2a1c000,0x7f0ec2bb9000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25",0x7f0ec2dba000,0x7f0ec2f38000,0
shared-library,"/lib/x86_64-linux-gnu/librt-2.27.so",0x7f0ec3148000,0x7f0ec314f000,0
shared-library,"/lib/x86_64-linux-gnu/libdl-2.27.so",0x7f0ec3350000,0x7f0ec3353000,0
shared-library,"/lib/x86_64-linux-gnu/ld-2.27.so",0x7f0ec3554000,0x7f0ec357b000,0
shared-library,"[vdso]",0x7ffc1ef7a000,0x7ffc1ef7c000,0
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000,0
profiler,"begin",1000
tick,0x7f0ec25eefa3,496,0,0x0,4
tick,0x10d3774,1559,0,0x0,4
code-creation,Stub,3,2579,0x312282e84060,234,"JSEntryStub"
code-creation,Builtin,5,2582,0x312282e841c0,128,"JSEntryTrampoline"
code-creation,Stub,3,2583,0x312282e842a0,286,"CEntryStub"
code-creation,Builtin,5,2584,0x312282e84420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,2585,0x312282e84500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,2586,0x312282e846a0,351,"ToObject"
code-creation,Stub,3,2587,0x312282e84860,2084,"RecordWriteStub"
code-creation,Stub,3,2588,0x312282e85100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,2589,0x312282e852a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,2589,0x312282e85400,139,"CallBoundFunction"
code-creation,Builtin,5,2590,0x312282e85500,548,"CallProxy"
code-creation,Stub,3,2591,0x312282e857a0,1693,"GetPropertyStub"
code-creation,Builtin,5,2592,0x312282e85ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,2593,0x312282e86020,234,"JSEntryStub"
code-creation,Builtin,5,2593,0x312282e86180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,2594,0x312282e86260,77,"Construct"
code-creation,Builtin,5,2596,0x312282e86320,18,"ConstructFunction"
code-creation,Builtin,5,2597,0x312282e863a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,2598,0x312282e864a0,624,"ConstructProxy"
code-creation,Builtin,5,2599,0x312282e86780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,2600,0x312282e86820,15,"EmptyFunction"
code-creation,Builtin,5,2602,0x312282e868a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,2603,0x312282e86920,286,"CEntryStub"
code-creation,Builtin,5,2604,0x312282e86aa0,615,"CompileLazy"
code-creation,Stub,3,2606,0x312282e86d80,440,"RecordWriteStub"
code-creation,Stub,3,2607,0x312282e86fa0,1192,"RecordWriteStub"
code-creation,Stub,3,2618,0x312282e874c0,72,"StoreBufferOverflowStub"
code-creation,Stub,3,2619,0x312282e87580,1220,"RecordWriteStub"
code-creation,Builtin,5,2620,0x312282e87ac0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,2621,0x312282e87c40,925,"FastNewObject"
tick,0x7f0ec2215040,2624,0,0x0,4
code-creation,Stub,3,2632,0x312282e88040,2141,"RecordWriteStub"
code-creation,Handler,4,2634,0x312282e88900,164,"An IC handler from the snapshot"
code-creation,Stub,3,2635,0x312282e88a20,87,"DoubleToIStub"
code-creation,Stub,3,2636,0x312282e88ae0,93,"DoubleToIStub"
code-creation,Stub,3,2636,0x312282e88ba0,469,"CEntryStub"
code-creation,Stub,3,2637,0x312282e88de0,2088,"RecordWriteStub"
code-creation,Stub,3,2638,0x312282e89680,2072,"RecordWriteStub"
code-creation,Stub,3,2639,0x312282e89f00,2084,"RecordWriteStub"
code-creation,Stub,3,2640,0x312282e8a7a0,2119,"RecordWriteStub"
code-creation,Stub,3,2640,0x312282e8b060,2099,"RecordWriteStub"
code-creation,Stub,3,2641,0x312282e8b900,2088,"RecordWriteStub"
code-creation,Stub,3,2642,0x312282e8c1a0,1688,"StringAddStub"
code-creation,Stub,3,2643,0x312282e8c8a0,890,"RecordWriteStub"
code-creation,Stub,3,2643,0x312282e8cc80,2134,"RecordWriteStub"
code-creation,Stub,3,2644,0x312282e8d540,2103,"RecordWriteStub"
code-creation,Stub,3,2645,0x312282e8dde0,882,"RecordWriteStub"
code-creation,Stub,3,2646,0x312282e8e1c0,2088,"RecordWriteStub"
code-creation,Stub,3,2672,0x312282e8ea60,2088,"RecordWriteStub"
code-creation,Stub,3,2673,0x312282e8f300,2126,"RecordWriteStub"
code-creation,Stub,3,2673,0x312282e8fbc0,1250,"RecordWriteStub"
code-creation,Stub,3,2674,0x312282e90120,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2675,0x312282e90260,2100,"RecordWriteStub"
code-creation,Stub,3,2676,0x312282e90b00,2075,"RecordWriteStub"
code-creation,Stub,3,2677,0x312282e91380,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,2678,0x312282e91560,2075,"RecordWriteStub"
code-creation,Stub,3,2678,0x312282e91de0,2100,"RecordWriteStub"
code-creation,Stub,3,2679,0x312282e92680,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2680,0x312282e92860,180,"An IC handler from the snapshot"
code-creation,Stub,3,2681,0x312282e92980,2072,"RecordWriteStub"
code-creation,Handler,4,2682,0x312282e93200,180,"An IC handler from the snapshot"
code-creation,Stub,3,2682,0x312282e93320,876,"RecordWriteStub"
code-creation,Stub,3,2683,0x312282e93700,2122,"RecordWriteStub"
code-creation,Stub,3,2684,0x312282e93fc0,884,"RecordWriteStub"
code-creation,Stub,3,2685,0x312282e943a0,87,"DoubleToIStub"
code-creation,Stub,3,2685,0x312282e94460,2097,"RecordWriteStub"
code-creation,Stub,3,2686,0x312282e94d00,2088,"RecordWriteStub"
code-creation,Stub,3,2687,0x312282e955a0,2103,"RecordWriteStub"
code-creation,Stub,3,2688,0x312282e95e40,2088,"RecordWriteStub"
code-creation,Stub,3,2688,0x312282e966e0,884,"RecordWriteStub"
code-creation,Stub,3,2689,0x312282e96ac0,884,"RecordWriteStub"
code-creation,Stub,3,2690,0x312282e96ea0,2109,"RecordWriteStub"
code-creation,Stub,3,2691,0x312282e97740,882,"RecordWriteStub"
code-creation,Stub,3,2692,0x312282e97b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2692,0x312282e97c60,235,"NumberToStringStub"
code-creation,Stub,3,2693,0x312282e97dc0,2125,"RecordWriteStub"
code-creation,Stub,3,2694,0x312282e98680,2142,"RecordWriteStub"
code-creation,Stub,3,2695,0x312282e98f40,884,"RecordWriteStub"
code-creation,Stub,3,2696,0x312282e99320,2104,"RecordWriteStub"
code-creation,Stub,3,2696,0x312282e99bc0,2088,"RecordWriteStub"
code-creation,Stub,3,2697,0x312282e9a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2698,0x312282e9a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,2699,0x312282e9ae60,87,"DoubleToIStub"
code-creation,Stub,3,2699,0x312282e9af20,2076,"RecordWriteStub"
code-creation,Stub,3,2700,0x312282e9b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,2701,0x312282e9c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2702,0x312282e9c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,2703,0x312282e9c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,2703,0x312282e9c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,2704,0x312282e9c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,2705,0x312282e9c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,2706,0x312282e9ce80,2126,"RecordWriteStub"
code-creation,Stub,3,2707,0x312282e9d740,2076,"RecordWriteStub"
code-creation,Stub,3,2707,0x312282e9dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,2708,0x312282e9e860,2099,"RecordWriteStub"
code-creation,Stub,3,2709,0x312282e9f100,2084,"RecordWriteStub"
code-creation,Stub,3,2710,0x312282e9f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,2711,0x312282ea0280,2087,"RecordWriteStub"
code-creation,Stub,3,2711,0x312282ea0b20,2072,"RecordWriteStub"
code-creation,Stub,3,2712,0x312282ea13a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,2713,0x312282ea1580,612,"An IC handler from the snapshot"
code-creation,Stub,3,2714,0x312282ea1860,2126,"RecordWriteStub"
code-creation,Handler,4,2714,0x312282ea2120,180,"An IC handler from the snapshot"
code-creation,Stub,3,2715,0x312282ea2240,2088,"RecordWriteStub"
code-creation,Handler,4,2716,0x312282ea2ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,2717,0x312282ea2c00,3146,"SubStringStub"
