Statistical profiling result from isolate-0x25c2df0-v8.log, (4059 ticks, 199 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    987   24.3%          /usr/bin/node
     24    0.6%          /lib/x86_64-linux-gnu/libc-2.27.so
      1    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25

 [JavaScript]:
   ticks  total  nonlib   name
     67    1.7%    2.2%  Builtin: InterpreterEntryTrampoline
     36    0.9%    1.2%  Builtin: CallFunction_ReceiverIsAny
     31    0.8%    1.0%  StoreIC: A store IC from the snapshot
     28    0.7%    0.9%  Builtin: KeyedLoadIC_Megamorphic
     25    0.6%    0.8%  Builtin: KeyedStoreIC_Megamorphic_Strict
     16    0.4%    0.5%  KeyedLoadIC: A keyed load IC from the snapshot
     15    0.4%    0.5%  LoadIC: A load IC from the snapshot
     15    0.4%    0.5%  Builtin: Call_ReceiverIsAny
     13    0.3%    0.4%  Builtin: StringEqual
      9    0.2%    0.3%  Builtin: RegExpPrototypeMatch
      8    0.2%    0.3%  Builtin: StringPrototypeCharAt
      7    0.2%    0.2%  Stub: StringAddStub
      7    0.2%    0.2%  LazyCompile: ~Request.onRequestResponse /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:881:48
      7    0.2%    0.2%  LazyCompile: ~<anonymous> /home/gofrendi/Projects/chimera-framework/lib/core.js:355:12
      7    0.2%    0.2%  LazyCompile: *evaluateStatement /home/gofrendi/Projects/chimera-framework/lib/core.js:182:30
      7    0.2%    0.2%  Builtin: HasProperty
      6    0.1%    0.2%  Stub: GetPropertyStub
      6    0.1%    0.2%  LazyCompile: ~Request.init /home/gofrendi/Projects/chimera-framework/node_modules/request/request.js:142:35
      6    0.1%    0.2%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      6    0.1%    0.2%  Builtin: LoadIC_Noninlined
      6    0.1%    0.2%  Builtin: Call_ReceiverIsNullOrUndefined
      6    0.1%    0.2%  Builtin: ArgumentsAdaptorTrampoline
      5    0.1%    0.2%  LazyCompile: ~nextTick internal/process/next_tick.js:245:20
      5    0.1%    0.2%  LazyCompile: ~lookupAndConnect net.js:1043:26
      5    0.1%    0.2%  LazyCompile: ~getTrueRootChain /home/gofrendi/Projects/chimera-framework/lib/core-preprocessor.js:60:27
      5    0.1%    0.2%  LazyCompile: ~Socket.connect net.js:982:36
      5    0.1%    0.2%  LazyCompile: ~ReadableState _stream_readable.js:58:23
      5    0.1%    0.2%  Builtin: StringPrototypeSubstring
      4    0.1%    0.1%  LazyCompile: ~runInNewContext vm.js:123:25
